datetime,open,high,low,close
1995-10-23,1.31430,1.31900,1.29630,1.30370
1995-10-30,1.30250,1.30880,1.28770,1.29330
1995-11-06,1.29300,1.30480,1.28970,1.29170
1995-11-13,1.29280,1.30900,1.28650,1.30900
1995-11-20,1.30100,1.30660,1.29020,1.29930
1995-11-27,1.29750,1.30000,1.27170,1.27570
1995-12-04,1.27570,1.28770,1.26800,1.27310
1995-12-11,1.27370,1.27760,1.25990,1.27300
1995-12-18,1.27610,1.28410,1.26980,1.27760
1995-12-25,1.27710,1.28630,1.27470,1.27770
1996-01-01,1.27690,1.28900,1.26580,1.28430
1996-01-08,1.28050,1.29710,1.27860,1.28130
1996-01-15,1.28150,1.28250,1.24390,1.24610
1996-01-22,1.24750,1.25130,1.22450,1.22550
1996-01-29,1.22570,1.23880,1.22430,1.23830
1996-02-05,1.24200,1.25300,1.23950,1.24480
1996-02-12,1.24450,1.25800,1.24180,1.25700
1996-02-19,1.25400,1.27120,1.25380,1.26800
1996-02-26,1.26900,1.27320,1.24900,1.25200
1996-03-04,1.25400,1.26040,1.24600,1.24900
1996-03-11,1.25,1.26120,1.24600,1.25780
1996-03-18,1.25720,1.26060,1.25010,1.25370
1996-03-25,1.25600,1.26280,1.24790,1.25100
1996-04-01,1.25050,1.26130,1.25050,1.25510
1996-04-08,1.25540,1.25790,1.23490,1.23830
1996-04-15,1.24150,1.25,1.23400,1.23740
1996-04-22,1.23900,1.24040,1.22450,1.23160
1996-04-29,1.23030,1.23530,1.22150,1.23000
1996-05-06,1.23250,1.23930,1.22410,1.22700
1996-05-13,1.22750,1.23400,1.22270,1.22700
1996-05-20,1.22690,1.22830,1.21900,1.22600
1996-05-27,1.22550,1.24200,1.22100,1.24050
1996-06-03,1.24060,1.24080,1.22950,1.23130
1996-06-10,1.23110,1.24670,1.22940,1.24250
1996-06-17,1.24220,1.25030,1.23470,1.23850
1996-06-24,1.23800,1.24800,1.23300,1.24370
1996-07-01,1.24390,1.24870,1.23840,1.24120
1996-07-08,1.24030,1.24850,1.23980,1.24620
1996-07-15,1.24600,1.28000,1.24600,1.27080
1996-07-22,1.27250,1.27830,1.26240,1.27040
1996-07-29,1.26940,1.28370,1.26500,1.26970
1996-08-05,1.26920,1.27550,1.26200,1.26960
1996-08-12,1.27000,1.27300,1.26060,1.26590
1996-08-19,1.26500,1.27560,1.25800,1.27160
1996-08-26,1.27370,1.27800,1.26620,1.26810
1996-09-02,1.26800,1.27520,1.26140,1.26180
1996-09-09,1.26060,1.26210,1.24790,1.25420
1996-09-16,1.25450,1.26000,1.24780,1.25780
1996-09-23,1.25860,1.26670,1.24750,1.25040
1996-09-30,1.25120,1.25320,1.24450,1.24970
1996-10-07,1.24920,1.25520,1.24890,1.25290
1996-10-14,1.25400,1.25420,1.24130,1.25150
1996-10-21,1.25190,1.26450,1.25050,1.26040
1996-10-28,1.25860,1.27310,1.25750,1.26620
1996-11-04,1.26550,1.27420,1.25840,1.27140
1996-11-11,1.27270,1.28210,1.26650,1.27260
1996-11-18,1.27470,1.28620,1.27280,1.27530
1996-11-25,1.26900,1.27490,1.25310,1.25400
1996-12-02,1.25480,1.25940,1.23340,1.24740
1996-12-09,1.24500,1.25460,1.23860,1.24280
1996-12-16,1.24180,1.25190,1.23050,1.24070
1996-12-23,1.24030,1.24330,1.23300,1.24150
1996-12-30,1.24110,1.25670,1.23410,1.23590
1997-01-06,1.23250,1.24580,1.22370,1.22500
1997-01-13,1.22720,1.22970,1.20450,1.20450
1997-01-20,1.20650,1.20660,1.18010,1.18870
1997-01-27,1.18600,1.18770,1.17030,1.17960
1997-02-03,1.17700,1.18110,1.15940,1.17100
1997-02-10,1.18000,1.18090,1.14790,1.15080
1997-02-17,1.14790,1.15400,1.13890,1.14880
1997-02-24,1.15100,1.16480,1.14410,1.14680
1997-03-03,1.14550,1.14910,1.12930,1.13440
1997-03-10,1.13530,1.14750,1.13470,1.14540
1997-03-17,1.14450,1.15860,1.14270,1.15110
1997-03-24,1.14950,1.16820,1.14440,1.16610
1997-03-31,1.16250,1.16850,1.14150,1.14230
1997-04-07,1.14250,1.14350,1.13040,1.13100
1997-04-14,1.12850,1.14850,1.12450,1.14640
1997-04-21,1.14510,1.14530,1.12280,1.12620
1997-04-28,1.12660,1.13550,1.12400,1.12530
1997-05-05,1.12830,1.15530,1.12480,1.13980
1997-05-12,1.14200,1.15750,1.13840,1.14250
1997-05-19,1.14450,1.16680,1.14450,1.15220
1997-05-26,1.15330,1.15440,1.12490,1.12810
1997-06-02,1.12640,1.14240,1.11950,1.14040
1997-06-09,1.13880,1.14350,1.12070,1.12970
1997-06-16,1.12940,1.14220,1.12210,1.14180
1997-06-23,1.14180,1.14210,1.12350,1.12670
1997-06-30,1.12600,1.12950,1.11750,1.12260
1997-07-07,1.12250,1.12850,1.098000,1.10110
1997-07-14,1.10150,1.10860,1.094000,1.099500
1997-07-21,1.099500,1.10050,1.067500,1.071100
1997-07-28,1.072400,1.079100,1.053200,1.058300
1997-08-04,1.060400,1.069100,1.041900,1.056700
1997-08-11,1.056100,1.087000,1.051600,1.071000
1997-08-18,1.072200,1.087500,1.057000,1.079700
1997-08-25,1.080800,1.10000,1.075700,1.083800
1997-09-01,1.085000,1.093100,1.067600,1.084700
1997-09-08,1.082500,1.11540,1.079200,1.11140
1997-09-15,1.11050,1.11220,1.091200,1.096800
1997-09-22,1.096200,1.12110,1.089400,1.11200
1997-09-29,1.11260,1.11830,1.10090,1.11480
1997-10-06,1.11400,1.12910,1.11130,1.12080
1997-10-13,1.12070,1.12660,1.10610,1.11190
1997-10-20,1.11300,1.11700,1.10050,1.11030
1997-10-27,1.11120,1.15130,1.11100,1.14300
1997-11-03,1.14050,1.15990,1.13090,1.15590
1997-11-10,1.15620,1.16400,1.13960,1.14450
1997-11-17,1.14390,1.14830,1.13190,1.14050
1997-11-24,1.14020,1.14580,1.11640,1.12300
1997-12-01,1.12280,1.12370,1.10860,1.11130
1997-12-08,1.11080,1.12350,1.10150,1.11230
1997-12-15,1.11100,1.12150,1.10350,1.11400
